../instances/n106 MEA Results:

=== Mutation rate: 0.1 ===
0 16807 1000000
1 17001 1000000
2 16802 1000000
3 17102 1000000
4 16685 1000000
5 17070 1000000
6 17070 1000000
7 17429 1000000
8 17860 1000000
9 17797 1000000




0 17067 1000000
1 17227 1000000
2 16900 1000000
3 17102 1000000
4 16852 1000000
5 17000 1000000
6 17016 1000000
7 17260 1000000
8 17769 1000000
9 17769 1000000




0 16671 1000000
1 16831 1000000
2 16909 1000000
3 17073 1000000
4 16725 1000000
5 17070 1000000
6 17070 1000000
7 17696 1000000
8 17860 1000000
9 17344 1000000




0 17067 1000000
1 17227 1000000
2 17073 1000000
3 17102 1000000
4 16885 1000000
5 17016 1000000
6 16645 1000000
7 17449 1000000
8 17860 1000000
9 17797 1000000




0 17067 1000000
1 17227 1000000
2 17089 1000000
3 16900 1000000
4 16805 1000000
5 16868 1000000
6 16897 1000000
7 17378 1000000
8 17797 1000000
9 17787 1000000




0 17012 1000000
1 17172 1000000
2 17059 1000000
3 17059 1000000
4 16686 1000000
5 17000 1000000
6 17254 1000000
7 17512 1000000
8 18044 1000000
9 18044 1000000




0 16755 1000000
1 16915 1000000
2 16802 1000000
3 17050 1000000
4 16885 1000000
5 17016 1000000
6 17016 1000000
7 17439 1000000
8 17787 1000000
9 17608 1000000




0 17025 1000000
1 17188 1000000
2 16920 1000000
3 17089 1000000
4 16805 1000000
5 17016 1000000
6 17167 1000000
7 17439 1000000
8 18044 1000000
9 17809 1000000




0 17067 1000000
1 17227 1000000
2 16900 1000000
3 17089 1000000
4 16805 1000000
5 17016 1000000
6 17016 1000000
7 17421 1000000
8 17769 1000000
9 17726 1000000




0 17028 1000000
1 17188 1000000
2 16964 1000000
3 17286 1000000
4 17007 1000000
5 17057 1000000
6 17013 1000000
7 17455 1000000
8 17425 1000000
9 17787 1000000




0 17028 1000000
1 17188 1000000
2 16964 1000000
3 16964 1000000
4 16885 1000000
5 17057 1000000
6 17016 1000000
7 17439 1000000
8 17797 1000000
9 18044 1000000




0 17067 1000000
1 17227 1000000
2 17089 1000000
3 17286 1000000
4 16591 1000000
5 16818 1000000
6 17016 1000000
7 17421 1000000
8 17615 1000000
9 17787 1000000




0 17028 1000000
1 17188 1000000
2 16965 1000000
3 16964 1000000
4 16885 1000000
5 17016 1000000
6 17204 1000000
7 17374 1000000
8 17760 1000000
9 17809 1000000




0 16853 1000000
1 17013 1000000
2 16959 1000000
3 17073 1000000
4 16752 1000000
5 17057 1000000
6 16702 1000000
7 17310 1000000
8 17860 1000000
9 17682 1000000




0 17028 1000000
1 17188 1000000
2 16964 1000000
3 16964 1000000
4 16955 1000000
5 17016 1000000
6 17254 1000000
7 17696 1000000
8 17787 1000000
9 17787 1000000




0 16807 1000000
1 16967 1000000
2 16908 1000000
3 17102 1000000
4 16885 1000000
5 17016 1000000
6 17013 1000000
7 17260 1000000
8 17687 1000000
9 17860 1000000




0 16830 1000000
1 16990 1000000
2 16914 1000000
3 16965 1000000
4 16877 1000000
5 17049 1000000
6 17057 1000000
7 17696 1000000
8 17570 1000000
9 17860 1000000




0 17067 1000000
1 17227 1000000
2 17089 1000000
3 17102 1000000
4 17007 1000000
5 16997 1000000
6 17007 1000000
7 17449 1000000
8 17797 1000000
9 17793 1000000




0 17067 1000000
1 17227 1000000
2 16886 1000000
3 17089 1000000
4 16885 1000000
5 17016 1000000
6 17070 1000000
7 17374 1000000
8 17769 1000000
9 17687 1000000




0 17067 1000000
1 17227 1000000
2 17089 1000000
3 17013 1000000
4 16856 1000000
5 17000 1000000
6 17007 1000000
7 17449 1000000
8 18044 1000000
9 17769 1000000




0 17028 1000000
1 17188 1000000
2 16964 1000000
3 16965 1000000
4 16885 1000000
5 17016 1000000
6 17016 1000000
7 17402 1000000
8 17803 1000000
9 17787 1000000




0 16929 1000000
1 17089 1000000
2 17089 1000000
3 17089 1000000
4 16885 1000000
5 17127 1000000
6 17016 1000000
7 17421 1000000
8 17809 1000000
9 17720 1000000




0 16841 1000000
1 17001 1000000
2 16908 1000000
3 17230 1000000
4 16858 1000000
5 17016 1000000
6 17070 1000000
7 17449 1000000
8 17435 1000000
9 17425 1000000




0 16846 1000000
1 17006 1000000
2 16914 1000000
3 16908 1000000
4 16658 1000000
5 17016 1000000
6 17013 1000000
7 17267 1000000
8 17622 1000000
9 17716 1000000




0 16985 1000000
1 17145 1000000
2 17089 1000000
3 17053 1000000
4 17007 1000000
5 17007 1000000
6 17016 1000000
7 17421 1000000
8 17797 1000000
9 17766 1000000




0 17067 1000000
1 17227 1000000
2 16900 1000000
3 17286 1000000
4 16877 1000000
5 16897 1000000
6 17007 1000000
7 17449 1000000
8 17771 1000000
9 17860 1000000




0 17067 1000000
1 17227 1000000
2 16710 1000000
3 17089 1000000
4 17007 1000000
5 16645 1000000
6 16973 1000000
7 17087 1000000
8 17769 1000000
9 18044 1000000




0 16855 1000000
1 17185 1000000
2 16908 1000000
3 17141 1000000
4 17007 1000000
5 17057 1000000
6 17057 1000000
7 17439 1000000
8 17646 1000000
9 17809 1000000




0 16917 1000000
1 17077 1000000
2 16989 1000000
3 16900 1000000
4 16885 1000000
5 17204 1000000
6 16932 1000000
7 17087 1000000
8 17797 1000000
9 17860 1000000




0 16846 1000000
1 17006 1000000
2 16802 1000000
3 16914 1000000
4 16955 1000000
5 17057 1000000
6 16730 1000000
7 17449 1000000
8 17647 1000000
9 17622 1000000





=== Mutation rate: 0.5 ===
0 17028 1000000
1 17188 1000000
2 17089 1000000
3 17089 1000000
4 16955 1000000
5 17254 1000000
6 17057 1000000
7 17439 1000000
8 17787 1000000
9 17860 1000000




0 16807 1000000
1 17227 1000000
2 17089 1000000
3 17102 1000000
4 17007 1000000
5 17086 1000000
6 17070 1000000
7 17696 1000000
8 17797 1000000
9 17797 1000000




0 16807 1000000
1 16967 1000000
2 17089 1000000
